match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
8026448304;1973;1731137204;8629317.0;Bright Crusaders;8629324.0;Swift Knights;17233;Destiny League;924005;1;29;43;False;21
8026389994;1816;1731134030;2443375.0;Foxy gaming;8629005.0;Flawless Goblins;17233;Destiny League;923996;1;30;31;False;21
8026347184;1898;1731131498;8629005.0;Flawless Goblins;2443375.0;Foxy gaming;17233;Destiny League;923996;1;35;33;True;21
8026304009;1768;1731128771;8629315.0;Wiser Warriors;8629318.0;Mad Monkeys;17233;Destiny League;923984;1;33;28;True;21
8026286362;3432;1731127379;8703212.0;O.O;9571761.0;Cocogoat;17160;GEMS League Season 1: Asia Oceania by Chompix Gaming;923982;3;44;40;True;21
8026264120;1673;1731125876;8629315.0;Wiser Warriors;8629318.0;Mad Monkeys;17233;Destiny League;923984;1;23;11;True;21
8037780104;1696;1731700989;8987220.0;HolyTeam;8849817;ZEUS THUNDER GOD;17163;Dota 2 Space League;926130;1;23;37;False;21.0
8037778348;2334;1731700834;2163.0;Team Liquid;8599101;Gaimin Gladiators;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926106;1;34;20;True;
8037774389;1743;1731700680;8291895.0;Tundra Esports;9498970;AVULUS;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926104;1;30;6;True;21.0
8037725398;2832;1731698991;9600141.0;Zero Tenacity;8376696;One Move;17381;European Pro League  2024-2025 Season;926117;1;21;33;False;21.0
8037719847;2548;1731698610;8724984.0;Virtus.pro;9303383;L1GA TEAM;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926083;1;32;20;True;21.0
8037707315;2202;1731698650;8375259.0;Infinity;9450071;Fusion Esports;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926062;1;14;41;False;21.0
8037683069;1356;1731697330;9546351.0;BladeBreakers;9545759;Waska;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926066;1;8;30;False;21.0
8037681011;2981;1731697203;9594647.0;PuckChamp;9255039;1w Team;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926084;1;35;18;True;21.0
8037676484;1894;1731697207;8599101.0;Gaimin Gladiators;2163;Team Liquid;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926106;1;7;31;False;21.0
8037667247;1871;1731697263;9498970.0;AVULUS;8291895;Tundra Esports;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926104;1;28;8;True;21.0
8037644753;3237;1731695898;9586420.0;KIBA ARMS;9381131;Uzumaki;17366;Ultras Dota Pro League  2024-25;926082;1;58;58;False;21.0
8037622616;1689;1731695308;5014799.0;Nemiga Gaming;9162417;Nightshade Esports;17381;European Pro League  2024-2025 Season;926054;1;19;21;False;21.0
8037599914;1172;1731694337;9539477.0;Advance Esports;9601305;Team Mansaf;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926073;1;11;32;False;21.0
